[EMAIL] Using SMTP backend - smtp.gmail.com:587
INFO 2025-11-26 14:42:00,304 cli Starting server at tcp:port=8001:interface=0.0.0.0
INFO 2025-11-26 14:42:00,304 server HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2025-11-26 14:42:00,304 server Configuring endpoint tcp:port=8001:interface=0.0.0.0
INFO 2025-11-26 14:42:00,304 server Listening on TCP address 0.0.0.0:8001
127.0.0.1:51070 - - [26/Nov/2025:14:42:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51070 - - [26/Nov/2025:14:42:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:42:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51070 - - [26/Nov/2025:14:42:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:42:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:42:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51070 - - [26/Nov/2025:14:42:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:42:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51070 - - [26/Nov/2025:14:43:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51070 - - [26/Nov/2025:14:43:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:43:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51070 - - [26/Nov/2025:14:43:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:43:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:43:16] "GET /api/chats/list/" 200 1691
127.0.0.1:49970 - - [26/Nov/2025:14:43:34] "GET /api/health/" 200 44
127.0.0.1:51070 - - [26/Nov/2025:14:43:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:43:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51070 - - [26/Nov/2025:14:44:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51070 - - [26/Nov/2025:14:44:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:44:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51070 - - [26/Nov/2025:14:44:00] "GET /api/counselor/queued-chats/" 200 2
WARNING 2025-11-26 14:44:02,329 log Unauthorized: /api/auth/token/
127.0.0.1:50022 - - [26/Nov/2025:14:44:02] "POST /api/auth/token/" 401 63
127.0.0.1:50034 - - [26/Nov/2025:14:44:08] "POST /api/auth/token/" 200 532
127.0.0.1:50035 - - [26/Nov/2025:14:44:08] "GET /api/profile/" 200 434
127.0.0.1:50036 - - [26/Nov/2025:14:44:08] "GET /api/wallet/" 200 90
127.0.0.1:51070 - - [26/Nov/2025:14:44:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:44:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51070 - - [26/Nov/2025:14:44:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:44:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51070 - - [26/Nov/2025:14:45:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51070 - - [26/Nov/2025:14:45:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:45:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51070 - - [26/Nov/2025:14:45:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:45:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:45:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51070 - - [26/Nov/2025:14:45:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51070 - - [26/Nov/2025:14:45:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:46:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:46:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:46:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:46:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:46:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:46:17] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:46:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:46:46] "GET /api/chats/list/" 200 1691
WARNING 2025-11-26 14:47:00,738 log Unauthorized: /api/counselor/profile/
127.0.0.1:51915 - - [26/Nov/2025:14:47:00] "GET /api/counselor/profile/" 401 172
127.0.0.1:51915 - - [26/Nov/2025:14:47:00] "POST /api/auth/token/refresh/" 200 244
127.0.0.1:51915 - - [26/Nov/2025:14:47:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:47:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:47:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:47:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:47:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:47:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:47:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:47:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:48:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:48:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:48:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:48:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:48:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:48:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:48:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:48:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:49:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:49:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:49:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:49:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:49:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:49:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:49:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:49:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:50:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:50:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:50:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:50:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:50:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:50:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:50:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:50:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:51:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:51:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:51:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:51:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:51:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:51:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:51:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:51:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:52:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:52:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:52:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:52:00] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:52:16] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:52:16] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:52:46] "GET /api/counselor/queued-chats/" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:52:46] "GET /api/chats/list/" 200 1691
127.0.0.1:51915 - - [26/Nov/2025:14:53:00] "GET /api/counselor/profile/" 200 264
127.0.0.1:51915 - - [26/Nov/2025:14:53:00] "GET /api/counselor/appointments/?status=upcoming" 200 2
127.0.0.1:51915 - - [26/Nov/2025:14:53:00] "GET /api/counselor/stats/" 200 193
127.0.0.1:51915 - - [26/Nov/2025:14:53:00] "GET /api/counselor/queued-chats/" 200 2
